,User-ID,Location,Age,Password
0,2313,usa,23.0,
1,6543,usa,34.0,
2,8680,usa,2.0,
3,10314,usa,,
4,23768,usa,45.0,
5,28523,usa,24.0,
6,56157,usa,36.0,
7,77480,usa,51.0,
8,77940,malaysia,,
9,81977,usa,34.0,
10,98391,usa,52.0,
11,112199,usa,72.0,
12,115435,usa,30.0,
13,123981,usa,46.0,
14,128045,usa,41.0,
15,128276,unknown,,
16,135045,usa,29.0,
17,138543,usa,21.0,
18,144315,usa,,
19,144486,usa,38.0,
20,145451,usa,63.0,
21,158506,usa,52.0,
22,163202,usa,26.0,
23,168816,usa,35.0,
24,173743,usa,35.0,
25,188513,usa,44.0,
26,195374,usa,51.0,
27,208019,usa,,
28,208406,usa,30.0,
29,210597,usa,38.0,
30,227447,usa,38.0,
31,227520,usa,33.0,
32,240144,usa,34.0,
33,243142,usa,51.0,
34,244420,unknown,,
35,257492,unknown,,
36,260897,usa,25.0,
37,268191,usa,,
38,271448,usa,27.0,
39,274925,usa,,
40,276726,usa,,
41,278418,usa,,
42,638,usa,20.0,
43,3363,usa,29.0,
44,7158,usa,30.0,
45,8253,usa,26.0,
46,11676,unknown,,
47,12589,usa,,
48,13279,usa,,
49,19371,usa,52.0,
50,24878,canada,,
51,26525,usa,56.0,
52,27617,canada,32.0,
53,28204,canada,61.0,
54,29855,usa,53.0,
55,30261,usa,27.0,
56,30711,australia,32.0,
57,32440,new zealand,,
58,33974,usa,24.0,
59,35845,usa,,
60,37556,usa,,
61,39396,germany,20.0,
62,43146,usa,31.0,
63,44925,united kingdom,33.0,
64,54823,usa,,
65,63507,usa,,
66,64544,usa,44.0,
67,64679,usa,,
68,79977,usa,35.0,
69,85993,usa,40.0,
70,91761,usa,,
71,99085,usa,,
72,99720,usa,,
73,102967,usa,54.0,
74,105979,usa,26.0,
75,113340,usa,37.0,
76,115473,unknown,,
77,115490,usa,,
78,131993,usa,,
79,132616,usa,,
80,132792,usa,,
81,133498,usa,35.0,
82,135831,usa,,
83,138176,usa,35.0,
84,139064,usa,,
85,141444,unknown,,
86,144455,usa,40.0,
87,144729,usa,,
88,145369,usa,,
89,151002,usa,,
90,152376,usa,38.0,
91,153718,usa,27.0,
92,154992,usa,40.0,
93,157823,canada,43.0,
94,158295,usa,,
95,159033,usa,46.0,
96,167812,usa,38.0,
97,169699,usa,40.0,
98,169784,usa,52.0,
99,170902,usa,,
100,172539,usa,,
101,181687,usa,29.0,
102,185233,usa,31.0,
103,187863,usa,33.0,
104,188010,canada,,
105,190374,canada,38.0,
106,192095,usa,50.0,
107,194669,usa,46.0,
108,199799,usa,44.0,
109,200226,canada,39.0,
110,201017,usa,36.0,
111,201036,usa,,
112,203240,usa,32.0,
113,208671,usa,,
114,208829,canada,,
115,211361,usa,,
116,218875,usa,28.0,
117,220911,usa,29.0,
118,230522,usa,52.0,
119,231237,usa,,
120,234623,usa,,
121,235105,usa,46.0,
122,235218,usa,,
123,238120,usa,25.0,
124,238781,usa,51.0,
125,239135,usa,39.0,
126,240756,usa,41.0,
127,240829,usa,23.0,
128,242914,usa,43.0,
129,245568,usa,,
130,248477,usa,17.0,
131,249200,usa,36.0,
132,249359,usa,,
133,254405,usa,33.0,
134,258534,usa,32.0,
135,263460,usa,31.0,
136,265383,usa,,
137,268540,usa,19.0,
138,268692,usa,,
139,268751,usa,34.0,
140,271195,usa,39.0,
141,275631,usa,,
142,275970,usa,46.0,
143,6251,usa,32.0,
144,8234,usa,44.0,
145,8250,usa,34.0,
146,11224,usa,51.0,
147,13273,usa,201.0,
148,13552,usa,32.0,
149,16106,usa,44.0,
150,16718,usa,29.0,
151,16877,usa,37.0,
152,17950,malaysia,32.0,
153,20806,usa,,
154,21014,usa,,
155,21340,usa,45.0,
